No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
15,김진혁,대기,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
16,최영은,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
17,이찬동,대기,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
18,박재현,대기,29,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
19,박용희,대기,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,1,2,2,1,1,0,0,0,0,5,4,1,1,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
20,바셀루스,대기,99,22,0,0,3,1,1,1,0,3,0,0,0,0,0,0,10,8,1,1,0,2,2,7,6,5,4,1,1,4,3,0,0,1,1,9,7,3,1,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
1,최영은,GK,1,100,0,0,0,0,0,0,0,0,0,5,0,0,0,0,34,12,0,32,10,0,0,2,2,0,0,32,11,2,1,25,5,7,5,2,2,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
2,박진영,DF,40,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,30,0,20,14,4,4,12,12,1,1,18,16,17,13,9,6,14,13,13,11,0,0,1,0,5,2,2,0,1,1,1,5,2,0,1,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
3,고명석,DF,6,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,27,0,23,16,5,5,7,6,2,0,12,9,21,18,13,8,13,11,9,8,0,0,2,2,1,1,2,1,4,1,3,5,0,0,0,2,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
4,카이오,DF,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,6,6,1,1,12,12,1,1,10,10,8,8,4,4,9,9,6,6,0,0,2,2,9,4,1,0,9,0,5,4,2,0,2,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
5,장성원,MF,22,81,1,0,1,1,0,0,1,0,0,1,0,12,0,0,40,31,1,15,7,12,12,13,12,4,4,10,6,26,21,6,2,11,10,23,19,2,1,2,1,1,0,3,2,1,1,3,3,0,0,1,5,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
6,황재원,MF,2,100,0,0,1,0,0,1,0,1,0,1,0,2,0,0,51,48,1,14,12,18,18,19,18,4,4,10,10,37,34,8,7,16,15,27,26,3,1,1,0,1,0,5,1,0,3,2,11,0,1,1,0,1,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
7,홍철,MF,33,100,0,1,2,1,1,0,0,2,0,4,7,13,0,0,52,45,1,25,18,14,14,13,13,14,12,13,11,25,22,9,8,17,14,26,23,12,3,0,0,1,0,6,2,1,2,2,9,2,0,1,1,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
8,요시노,MF,5,93,0,1,1,0,0,1,0,1,0,0,0,0,1,0,26,15,2,12,6,6,5,8,4,6,4,7,3,13,8,4,1,8,4,14,10,0,0,1,1,2,1,3,0,0,2,6,11,1,0,0,2,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
9,바셀루스,FW,99,93,1,0,2,1,0,1,2,0,0,0,0,0,2,1,16,14,1,4,3,8,7,4,4,5,4,1,0,10,10,0,0,2,2,14,12,3,1,2,1,5,1,6,0,0,1,5,5,0,2,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
10,김영준,FW,19,31,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,1,0,3,1,1,0,0,0,0,1,1,1,0,1,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
11,박세진,FW,14,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,8,0,4,1,6,6,2,1,6,4,1,1,5,3,1,0,3,2,8,6,1,0,0,0,1,0,0,0,1,1,1,4,1,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
12,김진혁,대기,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
