No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
10,김민혁,FW,22,52,0,0,1,0,0,1,0,1,0,0,0,1,0,0,15,12,0,2,1,5,5,8,6,5,5,1,1,9,6,0,0,5,4,10,8,0,0,2,1,3,1,1,0,0,1,4,3,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
11,야고,FW,99,84,0,0,2,1,0,1,2,0,1,0,0,0,0,0,12,10,0,3,2,3,3,6,5,3,2,1,1,8,7,0,0,3,2,9,8,0,0,8,3,13,4,0,0,0,0,0,5,0,1,3,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
12,주민규,대기,18,17,0,0,2,0,0,2,2,0,0,0,0,0,0,0,5,5,0,2,2,2,2,1,1,3,3,0,0,2,2,0,0,1,1,4,4,0,0,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
13,김지현,대기,96,49,0,0,2,0,1,1,2,0,0,0,0,0,1,1,19,16,0,2,1,8,7,9,8,12,10,0,0,7,6,2,2,4,4,13,10,2,0,4,4,4,2,0,0,0,0,0,6,0,2,0,3,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
14,윤일록,대기,73,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,17,0,10,8,6,6,3,3,4,4,6,6,9,7,1,1,6,5,12,11,2,0,1,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
15,보야니치,대기,6,26,0,0,1,0,1,0,0,1,0,2,2,0,0,0,27,24,3,11,8,4,4,12,12,11,9,3,3,13,12,2,2,10,8,15,14,3,1,0,0,0,0,3,1,0,0,0,3,1,0,0,1,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
16,이청용,대기,27,65,0,0,1,0,0,1,0,1,0,1,0,0,0,0,47,43,0,12,9,15,15,20,19,14,13,3,3,30,27,1,1,12,12,34,30,2,0,1,1,2,1,1,0,1,1,1,7,1,1,2,1,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
17,김영권,대기,19,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
18,장시영,대기,28,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
19,심상민,대기,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
20,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,31R / 인천(A),31R , 인천(A)
1,조현우,GK,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,0,22,13,0,0,11,11,0,0,33,24,0,0,13,4,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
2,김기희,DF,4,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,47,36,0,19,10,7,7,21,19,2,0,17,13,28,23,7,3,17,14,23,19,0,0,2,1,7,4,1,0,11,0,3,5,2,0,1,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
3,김영권,DF,19,99,0,0,1,1,0,0,1,0,0,3,0,0,0,0,63,56,0,34,28,9,9,20,19,4,3,19,15,40,38,9,3,24,23,30,30,0,0,4,4,9,6,1,1,5,3,6,7,1,0,1,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
4,이명재,DF,13,99,0,0,2,1,0,1,1,1,0,0,0,14,0,0,57,47,1,25,17,18,18,14,12,11,11,8,7,38,29,8,6,14,10,35,31,5,2,1,1,1,1,5,2,2,3,2,8,0,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
5,보야니치,MF,6,71,1,0,1,1,0,0,1,0,0,6,0,0,0,0,43,36,0,20,14,12,12,11,10,9,8,12,10,22,18,3,1,13,12,27,23,1,0,2,1,4,1,5,2,1,1,2,8,2,0,0,0,1,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
6,장시영,MF,28,58,0,0,1,0,1,0,1,0,0,0,0,0,0,0,21,17,1,6,3,11,11,4,3,10,9,3,2,8,6,0,0,2,2,19,15,1,0,0,0,1,1,0,0,0,0,3,7,1,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
7,윤일록,MF,73,99,0,0,0,0,0,0,0,0,0,0,0,7,1,0,43,34,2,24,16,11,11,8,7,7,5,10,7,26,22,3,1,13,11,27,22,0,0,2,1,0,0,3,0,3,5,2,8,3,3,1,2,1,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
8,고승범,MF,7,99,0,0,1,1,0,0,1,0,0,0,0,0,0,0,36,29,0,18,12,6,6,12,11,9,8,9,7,18,14,1,0,9,8,26,21,3,0,1,0,5,1,5,1,5,3,3,11,2,4,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
9,아라비제,MF,9,76,0,0,0,0,0,0,0,0,0,2,1,0,4,1,21,19,0,8,6,8,8,5,5,2,2,5,5,14,12,1,1,11,9,9,9,3,0,1,0,0,0,0,0,0,0,1,5,2,1,0,3,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
10,김지현,FW,96,71,0,0,1,0,1,0,0,1,2,0,0,0,0,0,13,12,1,4,3,5,5,4,4,5,5,2,2,6,5,0,0,2,2,11,10,0,0,3,2,6,2,0,0,0,0,4,2,0,0,0,1,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
11,주민규,FW,18,76,0,0,2,1,0,1,1,1,0,0,0,0,0,0,18,15,0,2,1,6,5,10,9,4,3,2,2,12,10,0,0,5,5,13,10,0,0,3,3,1,0,4,0,0,0,0,0,0,2,0,5,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
12,김민준,대기,26,23,0,0,1,1,0,0,0,1,0,1,1,0,0,0,8,7,2,1,1,5,4,2,2,2,2,2,2,4,3,0,0,2,1,6,6,3,3,0,0,1,0,0,0,2,0,0,4,3,1,0,2,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
13,이규성,대기,8,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,12,0,5,4,1,1,7,7,4,4,3,3,6,5,1,1,2,2,10,9,0,0,0,0,2,1,0,0,0,0,1,4,1,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
14,마테우스,대기,95,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,3,1,0,0,3,0,1,0,1,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
15,임종은,대기,5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
16,최강민,대기,70,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
17,심상민,대기,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
18,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
19,이청용,대기,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,4,3,6,6,1,1,2,2,2,2,7,6,0,0,2,2,9,8,1,1,0,0,3,2,0,0,1,1,1,2,0,2,0,2,0,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
20,야고,대기,99,28,0,0,1,0,0,1,0,1,3,0,0,0,0,0,5,4,0,3,2,1,1,1,1,1,1,0,0,4,3,0,0,3,2,2,2,0,0,3,2,5,4,0,0,1,0,0,1,0,0,1,0,1,0,2024,하나은행 K리그1,울산,32R / 대전(A),32R , 대전(A)
1,조현우,GK,21,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,39,0,23,17,0,0,22,22,0,0,44,38,1,1,11,6,10,10,24,23,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
2,이명재,DF,13,100,0,1,1,1,0,0,0,1,0,1,1,10,0,0,69,60,2,33,25,14,14,22,21,18,16,17,13,34,31,6,4,23,20,40,36,4,1,2,1,6,3,4,1,2,3,2,9,3,1,1,1,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
3,최강민,DF,70,66,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,28,0,20,9,9,9,11,10,9,7,15,11,16,10,4,1,13,8,23,19,0,0,1,1,1,0,2,2,1,3,0,2,2,2,1,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
4,김기희,DF,4,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,57,0,32,19,10,10,30,28,0,0,43,36,29,21,12,5,38,30,22,22,0,0,4,4,8,6,5,2,10,3,3,8,2,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
5,김영권,DF,19,100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,73,62,0,37,27,8,8,28,27,1,0,38,33,34,29,9,3,25,22,39,37,0,0,3,2,2,0,2,0,4,2,4,8,2,1,1,1,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
6,김지현,MF,96,66,0,0,1,0,0,1,1,0,1,0,0,0,1,0,19,16,0,3,2,8,7,8,7,7,5,0,0,12,11,0,0,3,3,16,13,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,1,1,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
7,장시영,MF,28,48,0,0,1,0,0,1,1,0,0,0,0,0,0,0,14,12,0,4,2,7,7,3,3,8,8,1,1,5,3,1,0,2,2,11,10,0,0,2,2,1,0,1,1,0,1,0,3,1,2,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
8,이청용,MF,27,100,0,0,0,0,0,0,0,0,0,1,0,2,0,0,52,45,1,23,17,12,12,17,16,19,17,5,4,28,24,2,2,16,13,34,30,1,1,3,1,3,1,1,1,2,1,2,6,4,2,1,0,1,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
9,보야니치,MF,6,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,38,0,17,10,11,11,18,17,6,5,9,6,31,27,4,2,13,12,29,24,0,0,0,0,2,1,2,2,0,1,2,10,3,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
10,고승범,MF,7,100,1,0,1,1,0,0,1,0,0,0,0,0,1,1,56,43,0,20,11,17,14,19,18,10,7,7,5,39,31,2,1,8,7,46,35,2,0,5,2,1,0,4,0,0,1,5,16,4,1,0,2,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
11,주민규,FW,18,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,11,0,6,3,3,3,6,5,7,5,1,1,7,5,0,0,2,2,13,9,0,0,6,4,2,1,0,0,0,0,0,3,0,1,0,2,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
12,이규성,대기,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,6,5,2,2,5,5,5,5,1,1,7,6,0,0,3,3,10,9,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,1,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
13,정우영,대기,32,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
14,김민혁,대기,22,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
15,황석호,대기,20,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
16,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
17,아라비제,대기,9,41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,6,0,2,0,6,5,1,1,2,2,0,0,7,4,4,3,1,1,4,2,2,0,0,0,0,0,2,0,0,0,1,2,0,1,2,1,1,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
18,아타루,대기,31,52,0,1,0,0,0,0,0,0,0,1,1,1,0,0,26,17,1,9,2,12,11,5,4,10,8,4,2,12,7,4,0,11,8,11,9,2,0,2,0,1,1,0,0,0,0,1,5,1,1,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
19,야고,대기,99,34,1,0,3,2,0,1,3,0,0,0,0,0,0,0,5,3,0,3,1,0,0,2,2,1,1,0,0,4,2,0,0,1,1,4,2,0,0,4,1,2,1,0,0,0,1,2,1,0,0,0,1,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
20,윤일록,대기,73,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,14,1,12,9,1,1,4,4,2,2,5,3,10,9,2,0,3,3,12,11,1,1,0,0,0,0,0,0,1,3,1,6,0,0,0,0,0,0,2024,하나은행 K리그1,울산,33R / 김천(H),33R , 김천(H)
1,조현우,GK,21,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,10,10,0,0,20,20,0,0,30,30,0,0,2,2,12,12,16,16,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
2,김영권,DF,19,95,0,0,0,0,0,0,0,0,0,2,0,0,0,0,82,76,0,46,40,5,5,31,31,3,3,26,23,53,50,13,9,29,28,40,39,0,0,0,0,2,0,0,0,2,1,2,6,1,1,2,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
3,이명재,DF,13,95,0,0,0,0,0,0,0,0,0,2,4,11,1,0,70,56,2,33,24,20,19,17,13,27,21,15,14,28,21,2,1,16,13,52,42,10,3,0,0,2,0,1,1,2,1,0,6,2,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
4,윤일록,DF,73,95,0,0,1,0,1,0,0,1,0,1,0,10,0,0,67,57,0,23,15,20,20,24,22,27,25,5,5,35,27,5,5,15,10,47,42,0,0,2,1,1,1,4,3,5,1,4,12,2,3,2,2,1,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
5,김기희,DF,4,95,0,0,1,1,0,0,1,0,0,4,0,0,1,0,72,69,1,24,21,5,5,43,43,2,2,29,28,41,39,7,4,35,35,30,30,1,1,4,3,1,1,4,2,8,1,3,5,1,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
6,루빅손,MF,17,95,0,0,2,0,1,1,0,2,2,0,0,1,0,0,35,30,1,13,11,9,8,13,11,18,15,3,3,14,12,0,0,7,5,28,25,8,0,1,1,1,1,0,0,2,1,1,8,1,2,1,1,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
7,고승범,MF,7,95,0,0,2,2,0,0,2,0,0,0,1,0,2,2,46,36,1,24,18,11,10,11,8,25,18,3,3,18,15,0,0,9,9,37,27,5,0,2,0,4,3,1,0,2,2,2,14,5,1,0,1,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
8,이청용,MF,27,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,32,0,7,5,11,10,17,17,12,12,3,3,20,17,1,0,6,5,28,27,2,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
9,정우영,MF,32,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,53,45,0,24,20,5,4,24,21,8,8,6,6,39,31,3,1,22,20,28,24,0,0,2,2,3,3,0,0,3,0,5,6,2,0,2,1,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
10,주민규,FW,18,60,0,0,1,1,0,0,1,0,3,0,0,0,0,0,17,12,2,4,4,8,6,5,2,8,5,2,1,7,6,1,0,6,4,10,8,1,0,4,2,2,0,1,0,1,0,2,4,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
11,강윤구,FW,30,47,0,0,2,1,0,1,0,2,0,0,0,0,0,0,28,24,0,7,5,8,7,13,12,14,11,0,0,14,13,3,1,9,9,16,14,0,0,0,0,1,1,1,1,0,1,0,3,2,1,0,3,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
12,김지현,대기,96,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,2,2,8,7,2,2,11,10,0,0,1,1,0,0,1,1,11,10,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
13,아타루,대기,31,48,0,0,1,0,1,0,1,0,0,0,0,0,0,0,28,22,0,16,11,5,5,7,6,16,13,2,2,10,7,4,3,9,8,15,11,3,0,0,0,2,2,0,0,1,1,0,5,1,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
14,마테우스,대기,95,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,19,1,6,5,5,5,9,9,5,5,2,2,13,12,0,0,4,3,16,16,0,0,0,0,1,0,2,0,0,0,1,1,0,0,2,1,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
15,야고,대기,99,35,0,0,3,2,1,0,2,1,0,0,0,0,0,0,6,4,0,1,0,3,3,2,1,3,1,0,0,3,3,0,0,1,0,5,4,0,0,2,2,2,2,1,1,0,0,0,2,0,0,0,2,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
16,최강민,대기,70,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
17,이규성,대기,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
18,황석호,대기,20,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
19,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
20,아라비제,대기,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,34R / 김천(A),34R , 김천(A)
1,조현우,GK,21,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,19,0,11,6,0,0,13,13,0,0,24,19,0,0,7,2,8,8,9,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
2,김기희,DF,4,99,0,0,1,0,0,1,1,0,0,2,0,0,0,0,55,51,0,26,23,5,5,24,23,4,3,21,20,30,28,6,4,24,24,25,23,0,0,2,0,4,3,1,0,5,1,3,11,1,0,1,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
3,김영권,DF,19,99,0,0,2,0,1,1,0,2,0,3,0,0,0,0,65,61,1,37,34,8,8,20,19,4,3,21,19,40,39,4,3,22,20,39,38,0,0,1,0,2,1,2,0,6,4,2,11,1,0,0,2,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
4,최강민,DF,70,84,0,0,0,0,0,0,0,0,0,0,0,6,0,0,40,31,0,21,13,8,8,11,10,8,6,9,7,23,18,3,2,10,5,27,24,0,0,0,0,2,0,2,1,3,3,2,8,4,1,1,0,1,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
5,이명재,DF,13,99,0,0,1,0,0,1,0,1,0,0,5,7,0,0,50,41,2,31,23,8,8,11,10,10,9,11,9,29,23,4,2,15,13,31,26,10,3,0,0,1,0,2,1,3,0,1,7,1,0,1,1,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
6,루빅손,MF,17,99,0,1,1,0,0,1,0,1,1,0,0,1,0,0,42,34,3,15,10,5,4,22,20,15,12,7,5,20,17,2,0,10,8,30,26,3,3,2,0,3,0,6,3,1,3,1,7,4,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
7,고승범,MF,7,99,1,0,2,2,0,0,2,0,0,0,0,0,0,0,43,35,0,19,14,8,8,16,13,12,8,6,5,25,22,2,2,13,10,28,23,0,0,2,2,2,1,6,1,1,4,6,11,4,0,1,1,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
8,보야니치,MF,6,72,0,1,2,0,1,1,0,2,0,4,0,0,1,0,36,32,1,23,21,3,2,10,9,3,3,9,8,24,21,1,0,16,15,19,17,1,0,0,0,0,0,6,1,1,0,1,3,1,0,1,1,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
9,이청용,MF,27,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,2,6,4,8,8,6,6,3,2,4,4,13,12,1,1,4,4,15,13,1,0,1,0,2,0,3,1,0,0,1,3,1,0,0,3,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
10,장시영,FW,28,26,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,4,0,0,0,3,3,1,1,2,2,0,0,2,2,0,0,1,1,3,3,0,0,1,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
11,주민규,FW,18,84,1,0,3,2,0,1,3,0,0,0,0,0,0,0,23,22,1,5,5,13,13,5,4,6,5,0,0,17,17,1,1,8,8,14,13,1,0,6,2,3,1,5,1,1,1,0,2,0,0,1,1,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
12,황석호,대기,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,1,1,1,1,1,0,0,2,1,0,0,0,0,3,2,0,0,0,0,2,2,0,0,3,0,0,0,1,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
13,김민혁,대기,22,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,0,2,1,4,4,1,1,1,0,0,0,6,6,0,0,1,1,6,5,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
14,김지현,대기,96,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,11,0,2,2,8,8,2,1,6,5,0,0,6,6,1,1,3,2,8,8,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,1,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
15,이규성,대기,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
16,심상민,대기,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
17,김민우,대기,10,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,35R / 포항(A),35R , 포항(A)
